Decade,End,Start,Created Date,Modified Date,Created By,Unique ID
1920s,1929,1920,"Dec 8, 2020 8:30 PM","Dec 8, 2020 8:30 PM",(App admin),1607477456637x525405427055689800
1930s,1939,1930,"Dec 8, 2020 8:30 PM","Dec 8, 2020 8:30 PM",(App admin),1607477439304x554258390645713300
1940s,1949,1940,"Dec 8, 2020 8:30 PM","Dec 8, 2020 8:30 PM",(App admin),1607477425968x487322652550795200
2020s,2029,2020,"Sep 14, 2020 7:36 PM","Sep 14, 2020 7:36 PM",(deleted thing),1600126580240x647078829661003000
2010s,2019,2010,"Jan 8, 2020 4:12 PM","Jan 8, 2020 4:12 PM",(deleted thing),1578517953016x201737370508380480
2000s,2009,2000,"Jan 8, 2020 4:12 PM","Jan 8, 2020 4:12 PM",(deleted thing),1578517945037x915539021172911700
1990s,1999,1990,"Jan 8, 2020 4:12 PM","Jan 8, 2020 4:12 PM",(deleted thing),1578517934162x175581177090913470
1980s,1989,1980,"Jan 8, 2020 4:12 PM","Jan 8, 2020 4:12 PM",(deleted thing),1578517926590x354765930265968260
1970s,1979,1970,1/8/2020 4:11:00 PM,1/8/2020 4:11:00 PM,(deleted thing),1578517919015x827339676327148800
1960s,1969,1960,1/8/2020 4:11:00 PM,1/8/2020 4:11:00 PM,(deleted thing),1578517906590x940244323481039600
1950s,1959,1950,1/8/2020 4:11:00 PM,1/8/2020 4:11:00 PM,(deleted thing),1578517895723x925990367110333000
